Paths_p,Length_k,Config,Seed,Cap_Rule,Actual_Cap,Total_Nodes,Status,Solve_Time_s
4,4,all_sources,0,p/3,1,22,Infeasible,0.01
4,4,all_sinks,0,p/3,1,22,Infeasible,0.01
4,4,50_50,1,p/3,1,22,Infeasible,0.01
4,4,50_50,2,p/3,1,22,Infeasible,0.01
4,4,50_50,3,p/3,1,22,Infeasible,0.01
4,4,50_50,4,p/3,1,22,Infeasible,0.01
4,4,50_50,5,p/3,1,22,Infeasible,0.01
4,4,all_sources,0,p/2,2,22,Optimal,9.41
4,4,all_sinks,0,p/2,2,22,Optimal,17.37
4,4,50_50,1,p/2,2,22,Optimal,10.81
4,4,50_50,2,p/2,2,22,Optimal,13.19
4,4,50_50,3,p/2,2,22,Optimal,15.96
4,4,50_50,4,p/2,2,22,Optimal,11.96
4,4,50_50,5,p/2,2,22,Optimal,2.59
4,5,all_sources,0,p/3,1,26,Infeasible,0.02
4,5,all_sinks,0,p/3,1,26,Infeasible,0.01
4,5,50_50,1,p/3,1,26,Infeasible,0.01
4,5,50_50,2,p/3,1,26,Infeasible,0.02
4,5,50_50,3,p/3,1,26,Infeasible,0.01
4,5,50_50,4,p/3,1,26,Infeasible,0.01
4,5,50_50,5,p/3,1,26,Infeasible,0.02
4,5,all_sources,0,p/2,2,26,Optimal,15.41
4,5,all_sinks,0,p/2,2,26,Optimal,18.88
4,5,50_50,1,p/2,2,26,Optimal,21.77
4,5,50_50,2,p/2,2,26,Optimal,29.01
4,5,50_50,3,p/2,2,26,Optimal,28.64
4,5,50_50,4,p/2,2,26,Optimal,21.56
4,5,50_50,5,p/2,2,26,Optimal,3.55
4,6,all_sources,0,p/3,1,30,Infeasible,0.02
4,6,all_sinks,0,p/3,1,30,Infeasible,0.02
4,6,50_50,1,p/3,1,30,Infeasible,0.02
4,6,50_50,2,p/3,1,30,Infeasible,0.02
4,6,50_50,3,p/3,1,30,Infeasible,0.02
4,6,50_50,4,p/3,1,30,Infeasible,0.02
4,6,50_50,5,p/3,1,30,Infeasible,0.02
4,6,all_sources,0,p/2,2,30,Optimal,28.71
4,6,all_sinks,0,p/2,2,30,Optimal,45.78
4,6,50_50,1,p/2,2,30,Optimal,22.93
4,6,50_50,2,p/2,2,30,Optimal,34.05
4,6,50_50,3,p/2,2,30,Optimal,35.36
4,6,50_50,4,p/2,2,30,Optimal,94.26
4,6,50_50,5,p/2,2,30,Optimal,3.93
4,7,all_sources,0,p/3,1,34,Infeasible,0.04
4,7,all_sinks,0,p/3,1,34,Infeasible,0.03
4,7,50_50,1,p/3,1,34,Infeasible,0.03
4,7,50_50,2,p/3,1,34,Infeasible,0.03
4,7,50_50,3,p/3,1,34,Infeasible,0.03
4,7,50_50,4,p/3,1,34,Infeasible,0.03
4,7,50_50,5,p/3,1,34,Infeasible,0.03
4,7,all_sources,0,p/2,2,34,Optimal,28.74
4,7,all_sinks,0,p/2,2,34,Optimal,78.81
4,7,50_50,1,p/2,2,34,Optimal,61.87
4,7,50_50,2,p/2,2,34,Optimal,104.51
4,7,50_50,3,p/2,2,34,Optimal,68.78
4,7,50_50,4,p/2,2,34,Optimal,73.18
4,7,50_50,5,p/2,2,34,Optimal,5.55
4,8,all_sources,0,p/3,1,38,Infeasible,0.04
4,8,all_sinks,0,p/3,1,38,Infeasible,0.04
4,8,50_50,1,p/3,1,38,Infeasible,0.04
4,8,50_50,2,p/3,1,38,Infeasible,0.03
4,8,50_50,3,p/3,1,38,Infeasible,0.03
4,8,50_50,4,p/3,1,38,Infeasible,0.03
4,8,50_50,5,p/3,1,38,Infeasible,0.04
4,8,all_sources,0,p/2,2,38,Optimal,56.54
4,8,all_sinks,0,p/2,2,38,Optimal,83.05
4,8,50_50,1,p/2,2,38,Optimal,109.24
4,8,50_50,2,p/2,2,38,Optimal,159.84
4,8,50_50,3,p/2,2,38,Optimal,102.40
4,8,50_50,4,p/2,2,38,Optimal,229.87
4,8,50_50,5,p/2,2,38,Optimal,59.96
4,9,all_sources,0,p/3,1,42,Infeasible,0.05
4,9,all_sinks,0,p/3,1,42,Infeasible,0.05
4,9,50_50,1,p/3,1,42,Infeasible,0.05
4,9,50_50,2,p/3,1,42,Infeasible,0.05
4,9,50_50,3,p/3,1,42,Infeasible,0.05
4,9,50_50,4,p/3,1,42,Infeasible,0.05
4,9,50_50,5,p/3,1,42,Infeasible,0.05
4,9,all_sources,0,p/2,2,42,Optimal,69.17
4,9,all_sinks,0,p/2,2,42,Optimal,88.47
4,9,50_50,1,p/2,2,42,Optimal,462.77
4,9,50_50,2,p/2,2,42,Optimal,136.94
4,9,50_50,3,p/2,2,42,Optimal,194.98
4,9,50_50,4,p/2,2,42,Optimal,447.40
4,9,50_50,5,p/2,2,42,Optimal,48.24
4,10,all_sources,0,p/3,1,46,Infeasible,0.06
4,10,all_sinks,0,p/3,1,46,Infeasible,0.06
4,10,50_50,1,p/3,1,46,Infeasible,0.06
4,10,50_50,2,p/3,1,46,Infeasible,0.06
4,10,50_50,3,p/3,1,46,Infeasible,0.05
4,10,50_50,4,p/3,1,46,Infeasible,0.06
4,10,50_50,5,p/3,1,46,Infeasible,0.06
4,10,all_sources,0,p/2,2,46,Optimal,75.24
4,10,all_sinks,0,p/2,2,46,Optimal,102.52
4,10,50_50,1,p/2,2,46,Optimal,302.85
4,10,50_50,2,p/2,2,46,Optimal,443.97
4,10,50_50,3,p/2,2,46,Optimal,775.97
4,10,50_50,4,p/2,2,46,Optimal,313.04
4,10,50_50,5,p/2,2,46,Optimal,63.77
5,4,all_sources,0,p/3,1,26,Infeasible,0.02
5,4,all_sinks,0,p/3,1,26,Infeasible,0.02
5,4,50_50,1,p/3,1,26,Infeasible,0.02
5,4,50_50,2,p/3,1,26,Infeasible,0.02
5,4,50_50,3,p/3,1,26,Infeasible,0.02
5,4,50_50,4,p/3,1,26,Infeasible,0.02
5,4,50_50,5,p/3,1,26,Infeasible,0.02
5,4,all_sources,0,p/2,2,26,Optimal,22.64
5,4,all_sinks,0,p/2,2,26,Optimal,34.58
5,4,50_50,1,p/2,2,26,Optimal,6.06
5,4,50_50,2,p/2,2,26,Optimal,23.96
5,4,50_50,3,p/2,2,26,Optimal,20.84
5,4,50_50,4,p/2,2,26,Optimal,21.46
5,4,50_50,5,p/2,2,26,Optimal,7.12
5,5,all_sources,0,p/3,1,31,Infeasible,0.03
5,5,all_sinks,0,p/3,1,31,Infeasible,0.03
5,5,50_50,1,p/3,1,31,Infeasible,0.03
5,5,50_50,2,p/3,1,31,Infeasible,0.03
5,5,50_50,3,p/3,1,31,Infeasible,0.03
5,5,50_50,4,p/3,1,31,Infeasible,0.03
5,5,50_50,5,p/3,1,31,Infeasible,0.03
5,5,all_sources,0,p/2,2,31,Optimal,28.37
5,5,all_sinks,0,p/2,2,31,Optimal,34.16
5,5,50_50,1,p/2,2,31,Optimal,21.74
5,5,50_50,2,p/2,2,31,Optimal,69.96
5,5,50_50,3,p/2,2,31,Optimal,62.80
5,5,50_50,4,p/2,2,31,Optimal,98.21
5,5,50_50,5,p/2,2,31,Optimal,23.03
5,6,all_sources,0,p/3,1,36,Infeasible,0.05
5,6,all_sinks,0,p/3,1,36,Infeasible,0.04
5,6,50_50,1,p/3,1,36,Infeasible,0.04
5,6,50_50,2,p/3,1,36,Infeasible,0.04
5,6,50_50,3,p/3,1,36,Infeasible,0.04
5,6,50_50,4,p/3,1,36,Infeasible,0.04
5,6,50_50,5,p/3,1,36,Infeasible,0.04
5,6,all_sources,0,p/2,2,36,Optimal,40.75
5,6,all_sinks,0,p/2,2,36,Optimal,104.10
5,6,50_50,1,p/2,2,36,Optimal,108.95
5,6,50_50,2,p/2,2,36,Optimal,139.50
5,6,50_50,3,p/2,2,36,Optimal,184.57
5,6,50_50,4,p/2,2,36,Optimal,56.35
5,6,50_50,5,p/2,2,36,Optimal,204.83
5,7,all_sources,0,p/3,1,41,Infeasible,0.07
5,7,all_sinks,0,p/3,1,41,Infeasible,0.06
5,7,50_50,1,p/3,1,41,Infeasible,0.05
5,7,50_50,2,p/3,1,41,Infeasible,0.05
5,7,50_50,3,p/3,1,41,Infeasible,0.05
